,weeks,watched,rank,broadcast,name,percent
0,2009.12.28 ~ 2010.01.03,가구시청률,1,KBS2,주말연속극(수상한삼형제),33.4
1,2009.12.28 ~ 2010.01.03,가구시청률,2,KBS1,일일연속극(다함께차차차),33.1
2,2009.12.28 ~ 2010.01.03,가구시청률,3,KBS2,해피선데이,27.1
3,2009.12.28 ~ 2010.01.03,가구시청률,4,MBC,MBC연기대상2부,24.4
4,2009.12.28 ~ 2010.01.03,가구시청률,5,SBS,주말극장(천만번사랑해),24.2
5,2009.12.28 ~ 2010.01.03,가구시청률,6,MBC,MBC방송연예대상2부,24.0
6,2009.12.28 ~ 2010.01.03,가구시청률,7,MBC,MBC방송연예대상1부,22.4
7,2009.12.28 ~ 2010.01.03,가구시청률,8,SBS,SBS연예대상2부,21.1
8,2009.12.28 ~ 2010.01.03,가구시청률,9,MBC,주말기획드라마(보석비빔밥),20.9
9,2009.12.28 ~ 2010.01.03,가구시청률,10,MBC,일일시트콤(지붕뚫고하이킥),19.9
10,2009.12.28 ~ 2010.01.03,가구시청률,11,SBS,특집드라마(아버지의집2부),19.6
11,2009.12.28 ~ 2010.01.03,가구시청률,12,MBC,세바퀴,19.4
12,2009.12.28 ~ 2010.01.03,가구시청률,13,SBS,SBS연예대상1부,19.3
13,2009.12.28 ~ 2010.01.03,가구시청률,14,SBS,놀라운대회스타킹,17.6
14,2009.12.28 ~ 2010.01.03,가구시청률,15,KBS1,KBS9시뉴스,17.6
15,2009.12.28 ~ 2010.01.03,가구시청률,16,KBS2,개그콘서트,17.4
16,2009.12.28 ~ 2010.01.03,가구시청률,17,KBS2,KBS연기대상2부,17.3
17,2009.12.28 ~ 2010.01.03,가구시청률,18,SBS,SBS가요대전,16.6
18,2009.12.28 ~ 2010.01.03,가구시청률,19,SBS,특집드라마(아버지의집1부),16.6
19,2009.12.28 ~ 2010.01.03,가구시청률,20,MBC,무한도전,16.5
20,2010.01.04 ~ 2010.01.10,가구시청률,1,KBS1,일일연속극(다함께차차차),35.1
21,2010.01.04 ~ 2010.01.10,가구시청률,2,KBS2,주말연속극(수상한삼형제),33.5
22,2010.01.04 ~ 2010.01.10,가구시청률,3,KBS2,해피선데이,25.4
23,2010.01.04 ~ 2010.01.10,가구시청률,4,MBC,일일시트콤(지붕뚫고하이킥),23.8
24,2010.01.04 ~ 2010.01.10,가구시청률,5,SBS,주말극장(천만번사랑해),23.4
25,2010.01.04 ~ 2010.01.10,가구시청률,6,MBC,세바퀴,21.5
26,2010.01.04 ~ 2010.01.10,가구시청률,7,MBC,특집다큐(아마존의눈물1부),21.5
27,2010.01.04 ~ 2010.01.10,가구시청률,8,MBC,주말기획드라마(보석비빔밥),21.1
28,2010.01.04 ~ 2010.01.10,가구시청률,9,KBS2,특별기획드라마(추노),21.1
29,2010.01.04 ~ 2010.01.10,가구시청률,10,KBS1,KBS9시뉴스,20.3
30,2010.01.04 ~ 2010.01.10,가구시청률,11,MBC,무한도전,19.5
31,2010.01.04 ~ 2010.01.10,가구시청률,12,MBC,황금어장,18.9
32,2010.01.04 ~ 2010.01.10,가구시청률,13,SBS,특별기획(그대웃어요),17.2
33,2010.01.04 ~ 2010.01.10,가구시청률,14,KBS2,해피투게더,17.2
34,2010.01.04 ~ 2010.01.10,가구시청률,15,KBS2,개그콘서트,16.4
35,2010.01.04 ~ 2010.01.10,가구시청률,16,SBS,일일드라마(아내가돌아왔다),16.1
36,2010.01.04 ~ 2010.01.10,가구시청률,17,SBS,놀라운대회스타킹,15.3
37,2010.01.04 ~ 2010.01.10,가구시청률,18,SBS,아침연속극(망설이지마),15.2
38,2010.01.04 ~ 2010.01.10,가구시청률,19,SBS,강심장,15.0
39,2010.01.04 ~ 2010.01.10,가구시청률,20,SBS,SBS대기획(제중원),14.8
40,2010.01.11 ~ 2010.01.17,가구시청률,1,KBS2,주말연속극(수상한삼형제),34.1
41,2010.01.11 ~ 2010.01.17,가구시청률,2,KBS1,일일연속극(다함께차차차),33.1
42,2010.01.11 ~ 2010.01.17,가구시청률,3,KBS2,특별기획드라마(추노),27.3
43,2010.01.11 ~ 2010.01.17,가구시청률,4,KBS2,해피선데이,24.6
44,2010.01.11 ~ 2010.01.17,가구시청률,5,MBC,일일시트콤(지붕뚫고하이킥),23.4
45,2010.01.11 ~ 2010.01.17,가구시청률,6,KBS2,월화미니시리즈(공부의신),22.4
46,2010.01.11 ~ 2010.01.17,가구시청률,7,SBS,주말극장(천만번사랑해),21.7
47,2010.01.11 ~ 2010.01.17,가구시청률,8,MBC,세바퀴,21.2
48,2010.01.11 ~ 2010.01.17,가구시청률,9,MBC,특집다큐(아마존의눈물2부),21.1
49,2010.01.11 ~ 2010.01.17,가구시청률,10,MBC,주말기획드라마(보석비빔밥),20.5
50,2010.01.11 ~ 2010.01.17,가구시청률,11,SBS,순간포착,19.4
51,2010.01.11 ~ 2010.01.17,가구시청률,12,KBS1,KBS9시뉴스,18.5
52,2010.01.11 ~ 2010.01.17,가구시청률,13,MBC,무한도전,17.4
53,2010.01.11 ~ 2010.01.17,가구시청률,14,KBS2,해피투게더,17.0
54,2010.01.11 ~ 2010.01.17,가구시청률,15,KBS2,개그콘서트,16.9
55,2010.01.11 ~ 2010.01.17,가구시청률,16,SBS,특별기획(그대웃어요),16.7
56,2010.01.11 ~ 2010.01.17,가구시청률,17,SBS,강심장,16.6
57,2010.01.11 ~ 2010.01.17,가구시청률,18,SBS,아침연속극(망설이지마),16.3
58,2010.01.11 ~ 2010.01.17,가구시청률,19,MBC,황금어장,16.1
59,2010.01.11 ~ 2010.01.17,가구시청률,20,SBS,일요일이좋다1부(패밀리가떴다),15.3
60,2010.01.18 ~ 2010.01.24,가구시청률,1,KBS2,주말연속극(수상한삼형제),34.3
61,2010.01.18 ~ 2010.01.24,가구시청률,2,KBS1,일일연속극(다함께차차차),32.1
62,2010.01.18 ~ 2010.01.24,가구시청률,3,KBS2,특별기획드라마(추노),31.4
63,2010.01.18 ~ 2010.01.24,가구시청률,4,KBS2,해피선데이,26.1
64,2010.01.18 ~ 2010.01.24,가구시청률,5,MBC,세바퀴,24.9
65,2010.01.18 ~ 2010.01.24,가구시청률,6,SBS,주말극장(천만번사랑해),24.7
66,2010.01.18 ~ 2010.01.24,가구시청률,7,KBS2,월화미니시리즈(공부의신),23.0
67,2010.01.18 ~ 2010.01.24,가구시청률,8,MBC,일일시트콤(지붕뚫고하이킥),22.4
68,2010.01.18 ~ 2010.01.24,가구시청률,9,MBC,주말기획드라마(보석비빔밥),21.0
69,2010.01.18 ~ 2010.01.24,가구시청률,10,KBS2,해피투게더,19.5
70,2010.01.18 ~ 2010.01.24,가구시청률,11,SBS,순간포착,18.7
71,2010.01.18 ~ 2010.01.24,가구시청률,12,SBS,특별기획(그대웃어요),17.8
72,2010.01.18 ~ 2010.01.24,가구시청률,13,SBS,강심장,17.7
73,2010.01.18 ~ 2010.01.24,가구시청률,14,MBC,무한도전,17.1
74,2010.01.18 ~ 2010.01.24,가구시청률,15,KBS1,KBS9시뉴스,17.0
75,2010.01.18 ~ 2010.01.24,가구시청률,16,KBS2,개그콘서트,16.4
76,2010.01.18 ~ 2010.01.24,가구시청률,17,SBS,아침연속극(망설이지마),16.0
77,2010.01.18 ~ 2010.01.24,가구시청률,18,MBC,황금어장,15.7
78,2010.01.18 ~ 2010.01.24,가구시청률,19,SBS,일요일이좋다1부(패밀리가떴다),15.4
79,2010.01.18 ~ 2010.01.24,가구시청률,20,SBS,일일드라마(아내가돌아왔다),15.2
80,2010.01.25 ~ 2010.01.31,가구시청률,1,KBS2,주말연속극(수상한삼형제),35.4
81,2010.01.25 ~ 2010.01.31,가구시청률,2,KBS1,일일연속극(다함께차차차),33.5
82,2010.01.25 ~ 2010.01.31,가구시청률,3,KBS2,특별기획드라마(추노),32.9
83,2010.01.25 ~ 2010.01.31,가구시청률,4,SBS,주말극장(천만번사랑해),25.9
84,2010.01.25 ~ 2010.01.31,가구시청률,5,KBS2,해피선데이,24.7
85,2010.01.25 ~ 2010.01.31,가구시청률,6,MBC,세바퀴,24.4
86,2010.01.25 ~ 2010.01.31,가구시청률,7,MBC,일일시트콤(지붕뚫고하이킥),22.9
87,2010.01.25 ~ 2010.01.31,가구시청률,8,KBS2,월화미니시리즈(공부의신),22.1
88,2010.01.25 ~ 2010.01.31,가구시청률,9,MBC,주말기획드라마(보석비빔밥),21.9
89,2010.01.25 ~ 2010.01.31,가구시청률,10,SBS,특별기획(그대웃어요),18.7
90,2010.01.25 ~ 2010.01.31,가구시청률,11,MBC,특집다큐(아마존의눈물3부),18.1
91,2010.01.25 ~ 2010.01.31,가구시청률,12,KBS2,해피투게더,18.0
92,2010.01.25 ~ 2010.01.31,가구시청률,13,MBC,황금어장,17.7
93,2010.01.25 ~ 2010.01.31,가구시청률,14,KBS1,KBS9시뉴스,17.5
94,2010.01.25 ~ 2010.01.31,가구시청률,15,SBS,순간포착,17.4
95,2010.01.25 ~ 2010.01.31,가구시청률,16,SBS,강심장,17.3
96,2010.01.25 ~ 2010.01.31,가구시청률,17,KBS2,개그콘서트,16.8
97,2010.01.25 ~ 2010.01.31,가구시청률,18,MBC,무한도전,16.3
98,2010.01.25 ~ 2010.01.31,가구시청률,19,SBS,아침연속극(망설이지마),16.2
99,2010.01.25 ~ 2010.01.31,가구시청률,20,MBC,유재석김원희의놀러와,15.8
100,2010.02.01 ~ 2010.02.07,가구시청률,1,KBS2,주말연속극(수상한삼형제),35.9
101,2010.02.01 ~ 2010.02.07,가구시청률,2,KBS2,특별기획드라마(추노),31.8
102,2010.02.01 ~ 2010.02.07,가구시청률,3,SBS,주말극장(천만번사랑해),26.8
103,2010.02.01 ~ 2010.02.07,가구시청률,4,MBC,세바퀴,25.1
104,2010.02.01 ~ 2010.02.07,가구시청률,5,KBS2,해피선데이,25.0
105,2010.02.01 ~ 2010.02.07,가구시청률,6,KBS2,월화미니시리즈(공부의신),22.2
106,2010.02.01 ~ 2010.02.07,가구시청률,7,MBC,주말기획드라마(보석비빔밥),22.1
107,2010.02.01 ~ 2010.02.07,가구시청률,8,MBC,특집다큐(아마존의눈물에필로그250일간의여정),20.5
108,2010.02.01 ~ 2010.02.07,가구시청률,9,KBS1,일일연속극(바람불어좋은날),20.4
109,2010.02.01 ~ 2010.02.07,가구시청률,10,SBS,특별기획(그대웃어요),17.8
110,2010.02.01 ~ 2010.02.07,가구시청률,11,SBS,순간포착,17.7
111,2010.02.01 ~ 2010.02.07,가구시청률,12,SBS,SBS월화드라마(별을따다줘),17.4
112,2010.02.01 ~ 2010.02.07,가구시청률,13,KBS2,개그콘서트,17.1
113,2010.02.01 ~ 2010.02.07,가구시청률,14,MBC,일일시트콤(특집지붕뚫고하이킥),16.8
114,2010.02.01 ~ 2010.02.07,가구시청률,15,SBS,놀라운대회스타킹,16.6
115,2010.02.01 ~ 2010.02.07,가구시청률,16,KBS2,해피투게더,16.5
116,2010.02.01 ~ 2010.02.07,가구시청률,17,SBS,아침연속극(망설이지마),16.3
117,2010.02.01 ~ 2010.02.07,가구시청률,18,SBS,강심장,16.3
118,2010.02.01 ~ 2010.02.07,가구시청률,19,MBC,월화드라마(파스타),16.1
119,2010.02.01 ~ 2010.02.07,가구시청률,20,SBS,일일드라마(아내가돌아왔다),15.9
120,2010.02.08 ~ 2010.02.14,가구시청률,1,KBS2,특별기획드라마(추노),31.7
121,2010.02.08 ~ 2010.02.14,가구시청률,2,KBS2,주말연속극(수상한삼형제),25.2
122,2010.02.08 ~ 2010.02.14,가구시청률,3,KBS2,월화미니시리즈(공부의신),22.3
123,2010.02.08 ~ 2010.02.14,가구시청률,4,KBS1,일일연속극(바람불어좋은날),21.3
124,2010.02.08 ~ 2010.02.14,가구시청률,5,SBS,주말극장(천만번사랑해),20.8
125,2010.02.08 ~ 2010.02.14,가구시청률,6,KBS2,해피투게더,20.7
126,2010.02.08 ~ 2010.02.14,가구시청률,7,SBS,설날특선대작(국가대표2부),20.6
127,2010.02.08 ~ 2010.02.14,가구시청률,8,MBC,일일시트콤(지붕뚫고하이킥),20.6
128,2010.02.08 ~ 2010.02.14,가구시청률,9,MBC,황금어장,19.4
129,2010.02.08 ~ 2010.02.14,가구시청률,10,MBC,세바퀴,19.4
130,2010.02.08 ~ 2010.02.14,가구시청률,11,SBS,강심장,18.7
131,2010.02.08 ~ 2010.02.14,가구시청률,12,SBS,순간포착,18.7
132,2010.02.08 ~ 2010.02.14,가구시청률,13,KBS2,해피선데이,18.0
133,2010.02.08 ~ 2010.02.14,가구시청률,14,MBC,주말기획드라마(보석비빔밥),17.6
134,2010.02.08 ~ 2010.02.14,가구시청률,15,SBS,SBS월화드라마(별을따다줘),17.0
135,2010.02.08 ~ 2010.02.14,가구시청률,16,MBC,월화드라마(파스타),16.6
136,2010.02.08 ~ 2010.02.14,가구시청률,17,KBS1,KBS9시뉴스,16.2
137,2010.02.08 ~ 2010.02.14,가구시청률,18,MBC,무한도전,16.2
138,2010.02.08 ~ 2010.02.14,가구시청률,19,MBC,일일연속극(살맛납니다),15.3
139,2010.02.08 ~ 2010.02.14,가구시청률,20,SBS,일일드라마(아내가돌아왔다),15.2
140,2010.02.15 ~ 2010.02.21,가구시청률,1,KBS2,주말연속극(수상한삼형제),36.2
141,2010.02.15 ~ 2010.02.21,가구시청률,2,KBS2,특별기획드라마(추노),31.2
142,2010.02.15 ~ 2010.02.21,가구시청률,3,SBS,주말극장(천만번사랑해),27.3
143,2010.02.15 ~ 2010.02.21,가구시청률,4,KBS2,해피선데이,24.9
144,2010.02.15 ~ 2010.02.21,가구시청률,5,MBC,주말기획드라마(보석비빔밥),23.6
145,2010.02.15 ~ 2010.02.21,가구시청률,6,MBC,세바퀴,23.3
146,2010.02.15 ~ 2010.02.21,가구시청률,7,KBS2,월화미니시리즈(공부의신),21.7
147,2010.02.15 ~ 2010.02.21,가구시청률,8,MBC,일일시트콤(지붕뚫고하이킥),20.5
148,2010.02.15 ~ 2010.02.21,가구시청률,9,KBS1,일일연속극(바람불어좋은날),19.8
149,2010.02.15 ~ 2010.02.21,가구시청률,10,MBC,황금어장,19.3
150,2010.02.15 ~ 2010.02.21,가구시청률,11,SBS,순간포착,18.9
151,2010.02.15 ~ 2010.02.21,가구시청률,12,MBC,무한도전,17.5
152,2010.02.15 ~ 2010.02.21,가구시청률,13,SBS,특별기획(그대웃어요),17.1
153,2010.02.15 ~ 2010.02.21,가구시청률,14,MBC,월화드라마(파스타),16.9
154,2010.02.15 ~ 2010.02.21,가구시청률,15,SBS,강심장,16.8
155,2010.02.15 ~ 2010.02.21,가구시청률,16,SBS,일요일이좋다1부(패밀리가떴다2),16.5
156,2010.02.15 ~ 2010.02.21,가구시청률,17,MBC,앙코르특집다큐(아마존의눈물에필로그250일간의여정),16.4
157,2010.02.15 ~ 2010.02.21,가구시청률,18,KBS1,KBS9시뉴스,16.4
158,2010.02.15 ~ 2010.02.21,가구시청률,19,KBS2,해피투게더,16.4
159,2010.02.15 ~ 2010.02.21,가구시청률,20,KBS2,개그콘서트,16.1
160,2010.02.22 ~ 2010.02.28,가구시청률,1,KBS2,주말연속극(수상한삼형제),32.6
161,2010.02.22 ~ 2010.02.28,가구시청률,2,KBS2,특별기획드라마(추노),31.4
162,2010.02.22 ~ 2010.02.28,가구시청률,3,SBS,주말극장(천만번사랑해),25.3
163,2010.02.22 ~ 2010.02.28,가구시청률,4,KBS2,해피선데이,24.3
164,2010.02.22 ~ 2010.02.28,가구시청률,5,KBS2,월화미니시리즈(공부의신),24.1
165,2010.02.22 ~ 2010.02.28,가구시청률,6,SBS,연아의트리플러브,22.5
166,2010.02.22 ~ 2010.02.28,가구시청률,7,MBC,일일시트콤(지붕뚫고하이킥),20.2
167,2010.02.22 ~ 2010.02.28,가구시청률,8,KBS1,일일연속극(바람불어좋은날),19.8
168,2010.02.22 ~ 2010.02.28,가구시청률,9,KBS1,김연아스페셜연아의마법세상을홀리다,18.3
169,2010.02.22 ~ 2010.02.28,가구시청률,10,MBC,세바퀴,18.2
170,2010.02.22 ~ 2010.02.28,가구시청률,11,KBS2,해피투게더,17.8
171,2010.02.22 ~ 2010.02.28,가구시청률,12,KBS2,개그콘서트,17.0
172,2010.02.22 ~ 2010.02.28,가구시청률,13,SBS,SBS월화드라마(별을따다줘),16.8
173,2010.02.22 ~ 2010.02.28,가구시청률,14,MBC,월화드라마(파스타),16.8
174,2010.02.22 ~ 2010.02.28,가구시청률,15,MBC,무한도전,16.8
175,2010.02.22 ~ 2010.02.28,가구시청률,16,KBS1,KBS9시뉴스,16.7
176,2010.02.22 ~ 2010.02.28,가구시청률,17,SBS,놀라운대회스타킹,15.8
177,2010.02.22 ~ 2010.02.28,가구시청률,18,SBS,SBS8뉴스,15.4
178,2010.02.22 ~ 2010.02.28,가구시청률,19,SBS,일일드라마(아내가돌아왔다),15.4
179,2010.02.22 ~ 2010.02.28,가구시청률,20,MBC,일일연속극(살맛납니다),15.2
180,2010.03.01 ~ 2010.03.07,가구시청률,1,KBS2,주말연속극(수상한삼형제),36.3
181,2010.03.01 ~ 2010.03.07,가구시청률,2,KBS2,특별기획드라마(추노),32.6
182,2010.03.01 ~ 2010.03.07,가구시청률,3,KBS2,해피선데이,30.0
183,2010.03.01 ~ 2010.03.07,가구시청률,4,SBS,주말극장(천만번사랑해),27.8
184,2010.03.01 ~ 2010.03.07,가구시청률,5,MBC,세바퀴,21.2
185,2010.03.01 ~ 2010.03.07,가구시청률,6,KBS1,일일연속극(바람불어좋은날),21.0
186,2010.03.01 ~ 2010.03.07,가구시청률,7,MBC,월화드라마(파스타),20.3
187,2010.03.01 ~ 2010.03.07,가구시청률,8,MBC,일일시트콤(지붕뚫고하이킥),20.1
188,2010.03.01 ~ 2010.03.07,가구시청률,9,MBC,무한도전,19.3
189,2010.03.01 ~ 2010.03.07,가구시청률,10,KBS2,KBS스포츠축구(국가대표평가전한국:코트디부아르),18.7
190,2010.03.01 ~ 2010.03.07,가구시청률,11,KBS2,개그콘서트,18.4
191,2010.03.01 ~ 2010.03.07,가구시청률,12,SBS,특별기획(그대웃어요),18.4
192,2010.03.01 ~ 2010.03.07,가구시청률,13,MBC,일일연속극(살맛납니다),17.7
193,2010.03.01 ~ 2010.03.07,가구시청률,14,SBS,SBS월화드라마(별을따다줘),17.5
194,2010.03.01 ~ 2010.03.07,가구시청률,15,KBS1,KBS9시뉴스,16.9
195,2010.03.01 ~ 2010.03.07,가구시청률,16,SBS,강심장,16.6
196,2010.03.01 ~ 2010.03.07,가구시청률,17,SBS,순간포착,16.4
197,2010.03.01 ~ 2010.03.07,가구시청률,18,SBS,일일드라마(아내가돌아왔다),16.4
198,2010.03.01 ~ 2010.03.07,가구시청률,19,KBS2,해피투게더,15.9
199,2010.03.01 ~ 2010.03.07,가구시청률,20,KBS2,VJ특공대,15.7
200,2010.03.08 ~ 2010.03.14,가구시청률,1,KBS2,주말연속극(수상한삼형제),36.0
201,2010.03.08 ~ 2010.03.14,가구시청률,2,KBS2,특별기획드라마(추노),31.3
202,2010.03.08 ~ 2010.03.14,가구시청률,3,KBS2,해피선데이,25.9
203,2010.03.08 ~ 2010.03.14,가구시청률,4,KBS1,일일연속극(바람불어좋은날),21.2
204,2010.03.08 ~ 2010.03.14,가구시청률,5,MBC,세바퀴,20.6
205,2010.03.08 ~ 2010.03.14,가구시청률,6,MBC,월화드라마(파스타),20.3
206,2010.03.08 ~ 2010.03.14,가구시청률,7,MBC,일일시트콤(지붕뚫고하이킥),19.0
207,2010.03.08 ~ 2010.03.14,가구시청률,8,KBS2,개그콘서트,18.7
208,2010.03.08 ~ 2010.03.14,가구시청률,9,KBS1,KBS9시뉴스,18.2
209,2010.03.08 ~ 2010.03.14,가구시청률,10,SBS,주말극장(이웃집웬수),18.2
210,2010.03.08 ~ 2010.03.14,가구시청률,11,MBC,일일연속극(살맛납니다),17.5
211,2010.03.08 ~ 2010.03.14,가구시청률,12,SBS,강심장,16.5
212,2010.03.08 ~ 2010.03.14,가구시청률,13,SBS,SBS월화드라마(별을따다줘),16.5
213,2010.03.08 ~ 2010.03.14,가구시청률,14,MBC,무한도전,15.6
214,2010.03.08 ~ 2010.03.14,가구시청률,15,SBS,일일드라마(아내가돌아왔다),15.6
215,2010.03.08 ~ 2010.03.14,가구시청률,16,MBC,황금어장,15.5
216,2010.03.08 ~ 2010.03.14,가구시청률,17,SBS,순간포착,15.4
217,2010.03.08 ~ 2010.03.14,가구시청률,18,KBS2,해피투게더,14.7
218,2010.03.08 ~ 2010.03.14,가구시청률,19,MBC,섹션TV연예통신,14.7
219,2010.03.08 ~ 2010.03.14,가구시청률,20,SBS,놀라운대회스타킹,14.6
220,2010.03.15 ~ 2010.03.21,가구시청률,1,KBS2,주말연속극(수상한삼형제),36.8
221,2010.03.15 ~ 2010.03.21,가구시청률,2,KBS2,특별기획드라마(추노),29.0
222,2010.03.15 ~ 2010.03.21,가구시청률,3,KBS2,해피선데이,25.7
223,2010.03.15 ~ 2010.03.21,가구시청률,4,MBC,세바퀴,21.9
224,2010.03.15 ~ 2010.03.21,가구시청률,5,KBS1,일일연속극(바람불어좋은날),20.6
225,2010.03.15 ~ 2010.03.21,가구시청률,6,MBC,일일시트콤(지붕뚫고하이킥),20.4
226,2010.03.15 ~ 2010.03.21,가구시청률,7,MBC,일일연속극(살맛납니다),19.4
227,2010.03.15 ~ 2010.03.21,가구시청률,8,SBS,주말극장(이웃집웬수),19.2
228,2010.03.15 ~ 2010.03.21,가구시청률,9,MBC,무한도전,19.0
229,2010.03.15 ~ 2010.03.21,가구시청률,10,KBS2,개그콘서트,18.4
230,2010.03.15 ~ 2010.03.21,가구시청률,11,SBS,SBS월화드라마(별을따다줘),17.9
231,2010.03.15 ~ 2010.03.21,가구시청률,12,MBC,황금어장,17.1
232,2010.03.15 ~ 2010.03.21,가구시청률,13,KBS1,KBS9시뉴스,16.6
233,2010.03.15 ~ 2010.03.21,가구시청률,14,KBS2,월화미니시리즈(부자의탄생),16.0
234,2010.03.15 ~ 2010.03.21,가구시청률,15,SBS,SBS대기획(제중원),16.0
235,2010.03.15 ~ 2010.03.21,가구시청률,16,KBS2,해피투게더,16.0
236,2010.03.15 ~ 2010.03.21,가구시청률,17,SBS,순간포착,16.0
237,2010.03.15 ~ 2010.03.21,가구시청률,18,SBS,일일드라마(아내가돌아왔다),15.9
238,2010.03.15 ~ 2010.03.21,가구시청률,19,KBS1,역사드라마(거상김만덕),15.1
239,2010.03.15 ~ 2010.03.21,가구시청률,20,SBS,강심장,15.1
240,2010.03.22 ~ 2010.03.28,가구시청률,1,KBS2,주말연속극(수상한삼형제),36.0
241,2010.03.22 ~ 2010.03.28,가구시청률,2,KBS2,특별기획드라마(추노),31.6
242,2010.03.22 ~ 2010.03.28,가구시청률,3,KBS2,해피선데이,24.8
243,2010.03.22 ~ 2010.03.28,가구시청률,4,SBS,주말극장(이웃집웬수),21.4
244,2010.03.22 ~ 2010.03.28,가구시청률,5,KBS1,일일연속극(바람불어좋은날),19.7
245,2010.03.22 ~ 2010.03.28,가구시청률,6,MBC,일일연속극(살맛납니다),19.5
246,2010.03.22 ~ 2010.03.28,가구시청률,7,KBS1,KBS9시뉴스,17.5
247,2010.03.22 ~ 2010.03.28,가구시청률,8,MBC,무한도전,17.2
248,2010.03.22 ~ 2010.03.28,가구시청률,9,MBC,황금어장,16.6
249,2010.03.22 ~ 2010.03.28,가구시청률,10,SBS,순간포착,16.1
250,2010.03.22 ~ 2010.03.28,가구시청률,11,SBS,특별기획(인생은아름다워),16.0
251,2010.03.22 ~ 2010.03.28,가구시청률,12,SBS,일일드라마(아내가돌아왔다),15.9
252,2010.03.22 ~ 2010.03.28,가구시청률,13,MBC,MBC아침드라마(분홍립스틱),15.5
253,2010.03.22 ~ 2010.03.28,가구시청률,14,SBS,강심장,15.3
254,2010.03.22 ~ 2010.03.28,가구시청률,15,KBS2,월화미니시리즈(부자의탄생),15.3
255,2010.03.22 ~ 2010.03.28,가구시청률,16,KBS2,해피투게더,15.0
256,2010.03.22 ~ 2010.03.28,가구시청률,17,KBS2,아침드라마(다줄거야),15.0
257,2010.03.22 ~ 2010.03.28,가구시청률,18,SBS,SBS대기획(제중원),15.0
258,2010.03.22 ~ 2010.03.28,가구시청률,19,KBS1,역사드라마(거상김만덕),14.7
259,2010.03.22 ~ 2010.03.28,가구시청률,20,SBS,SBS스포츠피겨(ISU세계선수권대회),14.7
260,2010.03.29 ~ 2010.04.04,가구시청률,1,KBS2,주말연속극(수상한삼형제),34.8
261,2010.03.29 ~ 2010.04.04,가구시청률,2,KBS1,일일연속극(바람불어좋은날),20.4
262,2010.03.29 ~ 2010.04.04,가구시청률,3,KBS1,KBS9시뉴스,20.0
263,2010.03.29 ~ 2010.04.04,가구시청률,4,SBS,주말극장(이웃집웬수),19.7
264,2010.03.29 ~ 2010.04.04,가구시청률,5,MBC,일일연속극(살맛납니다),17.9
265,2010.03.29 ~ 2010.04.04,가구시청률,6,SBS,일일드라마(아내가돌아왔다),16.3
266,2010.03.29 ~ 2010.04.04,가구시청률,7,SBS,순간포착,16.2
267,2010.03.29 ~ 2010.04.04,가구시청률,8,MBC,MBC아침드라마(분홍립스틱),16.2
268,2010.03.29 ~ 2010.04.04,가구시청률,9,SBS,특별기획(인생은아름다워),15.8
269,2010.03.29 ~ 2010.04.04,가구시청률,10,KBS2,월화미니시리즈(부자의탄생),15.7
270,2010.03.29 ~ 2010.04.04,가구시청률,11,KBS2,수목드라마(신데렐라언니),15.2
271,2010.03.29 ~ 2010.04.04,가구시청률,12,KBS2,아침드라마(다줄거야),15.0
272,2010.03.29 ~ 2010.04.04,가구시청률,13,MBC,일요일일요일밤에단비스페셜,14.8
273,2010.03.29 ~ 2010.04.04,가구시청률,14,SBS,놀라운대회스타킹,14.4
274,2010.03.29 ~ 2010.04.04,가구시청률,15,SBS,SBS대기획(제중원),13.8
275,2010.03.29 ~ 2010.04.04,가구시청률,16,KBS1,역사드라마(거상김만덕),13.8
276,2010.03.29 ~ 2010.04.04,가구시청률,17,MBC,특별기획드라마(신이라불리운사나이),13.5
277,2010.03.29 ~ 2010.04.04,가구시청률,18,SBS,아침연속극(당돌한여자),13.3
278,2010.03.29 ~ 2010.04.04,가구시청률,19,MBC,특별기획드라마(동이),13.2
279,2010.03.29 ~ 2010.04.04,가구시청률,20,MBC,수목미니시리즈(개인의취향),12.5
280,2010.04.05 ~ 2010.04.11,가구시청률,1,KBS2,주말연속극(수상한삼형제),38.7
281,2010.04.05 ~ 2010.04.11,가구시청률,2,KBS2,해피선데이,27.0
282,2010.04.05 ~ 2010.04.11,가구시청률,3,SBS,주말극장(이웃집웬수),20.4
283,2010.04.05 ~ 2010.04.11,가구시청률,4,KBS1,일일연속극(바람불어좋은날),19.8
284,2010.04.05 ~ 2010.04.11,가구시청률,5,MBC,일일연속극(살맛납니다),19.7
285,2010.04.05 ~ 2010.04.11,가구시청률,6,MBC,세바퀴,19.3
286,2010.04.05 ~ 2010.04.11,가구시청률,7,KBS1,KBS9시뉴스,18.3
287,2010.04.05 ~ 2010.04.11,가구시청률,8,SBS,특별기획(인생은아름다워),17.5
288,2010.04.05 ~ 2010.04.11,가구시청률,9,KBS2,수목드라마(신데렐라언니),16.9
289,2010.04.05 ~ 2010.04.11,가구시청률,10,MBC,MBC아침드라마(분홍립스틱),16.6
290,2010.04.05 ~ 2010.04.11,가구시청률,11,SBS,일일드라마(아내가돌아왔다),16.0
291,2010.04.05 ~ 2010.04.11,가구시청률,12,MBC,황금어장,15.9
292,2010.04.05 ~ 2010.04.11,가구시청률,13,SBS,놀라운대회스타킹,15.9
293,2010.04.05 ~ 2010.04.11,가구시청률,14,KBS2,월화미니시리즈(부자의탄생),15.6
